"","exposure","outcome","id.exposure","id.outcome","samplesize","SNP","b","se","p"
"1","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs10172421",0.00373123815964262,0.0337526429702581,0.911975936242939
"2","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1028144",0.0122256808155402,0.034208393183957,0.720801105345324
"3","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1030443",0.00713170076756469,0.0339260377193204,0.833501281874442
"4","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1075737",0.0126431748999959,0.0342346721541723,0.711897366550447
"5","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs10769190",0.0140074437266962,0.0343301597509856,0.683257880833043
"6","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs10895581",0.0115599865307435,0.0342186737350382,0.735493679880765
"7","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs10923025",0.00635551890871148,0.0338233160994764,0.850952312172233
"8","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11043207",0.0144627878198879,0.0340725926703678,0.671223199265728
"9","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11073619",0.0164328539795395,0.0339184146974991,0.628043990834418
"10","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1135436",0.00767871343401744,0.033916568489697,0.820890274550709
"11","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11612312",0.0172829140201192,0.0338343678151513,0.60948450781814
"12","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11644362",0.00808868559489174,0.034257473933628,0.81334383925679
"13","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11668122",0.0105442734638736,0.0341462764538732,0.757475823608133
"14","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11691770",0.00952253411379837,0.0342292510345402,0.780859810895462
"15","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11751387",0.00689080533711943,0.0339189925086211,0.83901405894235
"16","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12062152",0.0103025823671082,0.0342360349789176,0.763469379909185
"17","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12143280",0.0129110615041161,0.034132053999931,0.705231564747263
"18","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12147610",0.0108811468179592,0.0341176278902892,0.749779333332899
"19","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12152057",0.00746949295904731,0.0339072195391941,0.825643664035296
"20","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12298541",0.00100664529581784,0.0326467937173394,0.975401581803519
"21","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12460988",0.0127734109118833,0.0342199172798087,0.708944405500043
"22","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12474324",0.0125138335271951,0.0342340249225218,0.714709922196634
"23","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12995715",0.0180298807819627,0.0335301288693459,0.590769136267838
"24","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs13235506",0.0146197780455268,0.034155220664292,0.668622480468955
"25","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1328835",0.0110059876556824,0.0342357101343291,0.747849066183351
"26","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs13387164",0.00870894106652406,0.0341498207684501,0.798706435866203
"27","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1361360",0.0107788507242996,0.0343132594744763,0.753421718122973
"28","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1462450",0.0116610784964879,0.03417021379815,0.732904523909707
"29","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1520724",0.0155835790417046,0.0338127190097663,0.644885272208228
"30","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1556477",0.00683554422927912,0.0339553248870281,0.840456234963686
"31","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs16847494",0.00893728521064392,0.0341364766420507,0.793467606933196
"32","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs17005492",0.0179108304385313,0.0336034016414197,0.594029102618729
"33","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs17331012",0.0132245885828393,0.0342070461784588,0.699049229506269
"34","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs17693963",0.0106179026876246,0.0342582796017338,0.756608992257421
"35","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2017279",0.0106777783655644,0.0342549251287263,0.755257030056936
"36","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2058382",0.019181546205282,0.0334097355968659,0.56587953588019
"37","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2075677",0.00221418931724245,0.0336910750134101,0.947600468696687
"38","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs210896",0.0123297266733707,0.0342455859296089,0.718818401963003
"39","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2127737",0.0121220420394243,0.0342189265701366,0.723151813411719
"40","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2212682",0.0115108844070389,0.0342154796179005,0.736551685004966
"41","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2321300",0.0168190057185677,0.0336261971348256,0.616951387476012
"42","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2409722",0.000155221734960609,0.032743751964883,0.996217642923214
"43","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs258677",0.0145281894952279,0.0342269240681766,0.671225486133506
"44","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2597455",0.00657738345774167,0.0339196258007027,0.846245688179314
"45","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs281288",0.00468132947619866,0.0337276926115265,0.889609933848102
"46","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2819873",0.00818972223177171,0.034307780708478,0.811327932723882
"47","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2911244",0.0107922877860636,0.0342244900318353,0.752504912738514
"48","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs3104708",0.00798272070950659,0.0341087338819255,0.81495591389067
"49","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs35238",0.0123614964631695,0.0342554198707283,0.718202237755193
"50","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs37241",0.0128725880368843,0.0340985390009976,0.70579357575884
"51","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs3756290",0.00612124967954748,0.0338595904343899,0.856537644336899
"52","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs3828653",0.0119998823462978,0.0342111670145724,0.725768991496033
