"","exposure","outcome","id.exposure","id.outcome","samplesize","SNP","b","se","p"
"1","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs10172421",0.433333333333333,0.219047619047619,0.0478992850564112
"2","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1028144",-0.0846153846153846,0.276923076923077,0.759943064406937
"3","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1030443",0.4,0.284210526315789,0.159306615961581
"4","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1075737",-0.1,0.252631578947368,0.692227984577075
"5","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs10769190",-0.122222222222222,0.2,0.541126024471668
"6","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs10895581",-0.025,0.28125,0.929170213978481
"7","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs10923025",0.458620689655172,0.279310344827586,0.100595121246404
"8","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11043207",-0.266666666666667,0.266666666666667,0.317310507862914
"9","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11073619",-0.36,0.244,0.140102392536074
"10","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1135436",0.425,0.315,0.177270695987224
"11","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11612312",-0.394736842105263,0.236842105263158,0.0955807045456294
"12","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11644362",0.178571428571429,0.214285714285714,0.404656761927286
"13","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11668122",0.103571428571429,0.35,0.767292423814759
"14","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11691770",0.135135135135135,0.251351351351351,0.590829470337317
"15","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs11751387",0.4,0.276190476190476,0.147539915532314
"16","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12062152",0.0828571428571428,0.262857142857143,0.752596601815538
"17","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12143280",-0.181578947368421,0.305263157894737,0.551958725723303
"18","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12147610",0.0736842105263158,0.421052631578947,0.861079633584653
"19","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12152057",0.426666666666667,0.306666666666667,0.164133155957093
"20","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12298541",0.84375,0.2625,0.00130769480810927
"21","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12460988",-0.114285714285714,0.257142857142857,0.65672128656377
"22","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12474324",-0.0925925925925926,0.255555555555556,0.717113780535015
"23","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs12995715",-0.55,0.2625,0.0361498323768589
"24","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs13235506",-0.214705882352941,0.235294117647059,0.361505569533152
"25","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1328835",0.0259259259259259,0.27037037037037,0.923607610431408
"26","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs13387164",0.217391304347826,0.265217391304348,0.412403041383546
"27","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1361360",0.0357142857142857,0.228571428571429,0.87583596638341
"28","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1462450",-0.05,0.325,0.877731041501716
"29","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1520724",-0.461538461538462,0.3,0.123935805672742
"30","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs1556477",0.371428571428571,0.264285714285714,0.159900760298068
"31","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs16847494",0.22,0.28,0.432034892005007
"32","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs17005492",-0.511111111111111,0.255555555555556,0.0455002638963584
"33","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs17331012",-0.143478260869565,0.252173913043478,0.569379541379991
"34","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs17693963",0.0538461538461538,0.253846153846154,0.832012471360641
"35","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2017279",0.05,0.25625,0.845297478259299
"36","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2058382",-0.566666666666667,0.246666666666667,0.0216018158774391
"37","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2075677",0.433333333333333,0.2,0.0302602800204716
"38","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs210896",-0.0764705882352941,0.252941176470588,0.762403879061464
"39","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2127737",-0.0722222222222222,0.272222222222222,0.790773648429406
"40","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2212682",-0.0210526315789474,0.284210526315789,0.940951444465206
"41","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2321300",-0.547058823529412,0.288235294117647,0.0577014590116585
"42","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2409722",0.753846153846154,0.238461538461538,0.00157071858166652
"43","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs258677",-0.176470588235294,0.217647058823529,0.417474325169508
"44","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2597455",0.392857142857143,0.264285714285714,0.137150488653754
"45","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs281288",0.46875,0.24375,0.0544703900274774
"46","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2819873",0.156666666666667,0.203333333333333,0.441008215382072
"47","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs2911244",0.0461538461538461,0.276923076923077,0.867632334778193
"48","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs3104708",0.261904761904762,0.257142857142857,0.308431604810131
"49","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs35238",-0.075,0.2475,0.761866768188248
"50","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs37241",-0.213888888888889,0.333333333333333,0.521089636689734
"51","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs3756290",0.425,0.2625,0.105437017780125
"52","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs3828653",-0.0657142857142857,0.28,0.81444634003896
"53","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4570163",-0.164285714285714,0.221428571428571,0.458126425559177
"54","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4589952",0.138095238095238,0.242857142857143,0.569608991540105
"55","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4762896",0.1,0.31875,0.753729539113066
"56","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4792196",-0.277777777777778,0.294444444444444,0.345478272628554
"57","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4810682",-0.128571428571429,0.380952380952381,0.735740012142954
"58","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4842283",0.455172413793103,0.220689655172414,0.0391601575567549
"59","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6073597",-0.45,0.257142857142857,0.0801183137276341
"60","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6089930",-0.0785714285714286,0.264285714285714,0.766239544861786
"61","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6587766",-0.0127659574468085,0.21063829787234,0.95167294673366
"62","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6598440",0.2875,0.325,0.37636410621678
"63","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6704609",-0.257142857142857,0.285714285714286,0.368120250693519
"64","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6772840",0.124,0.264,0.638571533177075
"65","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6813656",0.188888888888889,0.24,0.431260185340018
"66","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7072297",0.194444444444444,0.222222222222222,0.381573905705021
"67","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7149000",0.0928571428571428,0.264285714285714,0.725324774655607
"68","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7445606",-0.153846153846154,0.284615384615385,0.588824310631658
"69","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7487682",-0.184615384615385,0.284615384615385,0.516565503095008
"70","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7584895",0.385714285714286,0.264285714285714,0.144438690981168
"71","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7939430",-0.131578947368421,0.268421052631579,0.623995155551681
"72","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7952069",-0.0476190476190476,0.252380952380952,0.850344219267564
"73","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs8073904",-0.0619047619047619,0.285714285714286,0.82846812706095
"74","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs8180800",-0.176923076923077,0.284615384615385,0.53419070026645
"75","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs903834",-0.18,0.266666666666667,0.499675764943554
"76","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs905456",-0.371428571428571,0.278571428571429,0.182422439451736
"77","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs9291932",0.166666666666667,0.273333333333333,0.542023387720777
"78","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs929814",-0.461538461538462,0.284615384615385,0.10488439018766
"79","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs9528554",-0.15,0.2625,0.567709166197353
"80","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs976337",-0.257142857142857,0.264285714285714,0.330566734834094
