"","exposure","outcome","id.exposure","id.outcome","samplesize","SNP","b","se","p"
"1","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1000423",0.557256428657122,0.0904906320824192,7.35917087893239e-10
"2","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs10029530",0.551820901729609,0.0901400364869734,9.25136364203467e-10
"3","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs10048404",0.563273100603341,0.0909099208492211,5.79354216335215e-10
"4","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs10269774",0.561507524803918,0.0910424929750997,6.93639051335412e-10
"5","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs10409243",0.564784907670757,0.0909836351245764,5.38190834198106e-10
"6","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1047891",0.56204581712533,0.0908351869680342,6.1112628829452e-10
"7","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs10769253",0.571478978056151,0.0910467627743333,3.45693766620305e-10
"8","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs10817007",0.563702290785621,0.090994650753457,5.83239637502538e-10
"9","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs10853912",0.564600392118573,0.0910047641313023,5.50195053665179e-10
"10","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs10857147",0.546317853146158,0.091142349053916,2.04594739559314e-09
"11","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs10883543",0.572961356681487,0.0908395677394892,2.83764479086993e-10
"12","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs10883948",0.574580358897985,0.0903549382886103,2.02876833050406e-10
"13","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs11070245",0.571511391280887,0.090906643513694,3.24087805058443e-10
"14","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs11170386",0.570034819057481,0.0909122047151674,3.6065819530985e-10
"15","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs11191580",0.544803326430491,0.0912444775521896,2.36080333801999e-09
"16","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs11214436",0.567789923429755,0.0910095890918057,4.40962027630938e-10
"17","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs11527181",0.574044139338937,0.0907883692084801,2.56729463253792e-10
"18","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs11616710",0.565904566426125,0.0909467683092049,4.8969625438291e-10
"19","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs11629120",0.573715033303281,0.0904554849949389,2.26048040107551e-10
